FECHA_VACUNACION,DOSIS1,DOSIS2,DOSIS3,DOSIS4
2021-02-09,265,0,0,0
2021-02-10,1251,0,0,0
2021-02-11,1214,0,0,0
2021-02-12,858,0,0,0
2021-02-13,177,0,0,0
2021-02-14,398,0,0,0
2021-02-15,29,0,0,0
2021-02-17,4,0,0,0
2021-02-19,2565,0,0,0
2021-02-20,894,0,0,0
2021-02-22,678,0,0,0
2021-02-23,316,0,0,0
2021-02-24,143,0,0,0
2021-02-25,12,0,0,0
2021-02-26,401,0,0,0
2021-02-27,113,0,0,0
2021-03-01,276,0,0,0
2021-03-02,164,206,0,0
2021-03-03,67,1131,0,0
2021-03-04,31,1242,0,0
2021-03-05,44,859,0,0
2021-03-06,32,392,0,0
2021-03-08,21,85,0,0
2021-03-09,8,13,0,0
2021-03-10,34,32,0,0
2021-03-11,19,8,0,0
2021-03-12,3,1089,0,0
2021-03-13,65,1311,0,0
2021-03-15,45,1192,0,0
2021-03-16,58,418,0,0
2021-03-17,44,256,0,0
2021-03-18,3,45,0,0
2021-03-19,44,385,0,0
2021-03-20,5,110,0,0
2021-03-22,8,316,0,0
2021-03-23,6,165,0,0
2021-03-24,396,85,0,0
2021-03-25,423,39,0,0
2021-03-26,833,97,0,0
2021-03-27,1098,29,0,0
2021-03-29,23,42,0,0
2021-03-30,12,32,0,0
2021-03-31,120,67,0,0
2021-04-01,1501,1,0,0
2021-04-02,458,1,0,0
2021-04-03,140,52,0,0
2021-04-04,1,0,0,0
2021-04-05,945,82,0,0
2021-04-06,714,70,0,0
2021-04-07,673,45,0,0
2021-04-08,508,24,0,0
2021-04-09,655,31,0,0
2021-04-10,1,28,0,0
2021-04-11,0,1,0,0
2021-04-12,0,8,0,0
2021-04-13,0,10,0,0
2021-04-14,0,9,0,0
2021-04-15,27,777,0,0
2021-04-16,0,792,0,0
2021-04-17,79,1067,0,0
2021-04-18,1,0,0,0
2021-04-19,0,7,0,0
2021-04-20,1,19,0,0
2021-04-21,0,114,0,0
2021-04-22,0,1457,0,0
2021-04-23,0,438,0,0
2021-04-24,0,122,0,0
2021-04-26,0,896,0,0
2021-04-27,0,605,0,0
2021-04-28,14,648,0,0
2021-04-29,2855,555,0,0
2021-04-30,1056,760,0,0
2021-05-01,1966,1,0,0
2021-05-02,653,1,0,0
2021-05-03,429,0,0,0
2021-05-04,65,0,0,0
2021-05-05,4,0,0,0
2021-05-06,4448,1,0,0
2021-05-07,2123,0,0,0
2021-05-08,697,24,0,0
2021-05-09,4,0,0,0
2021-05-10,2773,0,0,0
2021-05-11,2858,5,0,0
2021-05-12,5251,0,0,0
2021-05-13,1851,1,0,0
2021-05-14,571,37,0,0
2021-05-15,15,7,0,0
2021-05-16,0,24,0,0
2021-05-17,8665,76,0,0
2021-05-18,5527,17,0,0
2021-05-19,1879,12,0,0
2021-05-20,249,2529,0,0
2021-05-21,135,1099,0,0
2021-05-22,127,1835,0,0
2021-05-23,205,605,1,0
2021-05-24,11076,455,0,0
2021-05-25,5890,152,2,0
2021-05-26,4152,53,0,0
2021-05-27,6279,4022,0,0
2021-05-28,4695,2079,3,0
2021-05-29,1306,732,0,0
2021-05-30,0,5,0,0
2021-05-31,149,2648,0,0
2021-06-01,165,3057,0,0
2021-06-02,447,4594,0,0
2021-06-03,484,1962,0,0
2021-06-04,98,476,0,0
2021-06-05,8,47,0,0
2021-06-06,2,4,0,0
2021-06-07,8,41,0,0
2021-06-08,29,10513,0,0
2021-06-09,5915,3910,0,0
2021-06-10,6632,375,0,0
2021-06-11,3591,226,0,0
2021-06-12,394,106,0,0
2021-06-13,1,155,0,0
2021-06-14,182,10535,0,0
2021-06-15,83,5858,0,0
2021-06-16,246,4120,0,0
2021-06-17,586,6205,0,0
2021-06-18,599,4585,0,0
2021-06-19,132,1356,0,0
2021-06-21,443,205,0,0
2021-06-22,855,566,0,0
2021-06-23,396,594,0,0
2021-06-24,399,447,0,0
2021-06-25,221,302,0,0
2021-06-26,28,26,0,0
2021-06-27,0,2,0,0
2021-06-28,181,41,0,0
2021-06-29,27,23,0,0
2021-06-30,29,5826,0,0
2021-07-01,90,5976,0,0
2021-07-02,115,3956,0,0
2021-07-03,5,491,0,0
2021-07-05,32,100,0,0
2021-07-06,7088,424,0,0
2021-07-07,3338,411,0,0
2021-07-08,371,568,0,0
2021-07-09,360,549,0,0
2021-07-10,53,97,0,0
2021-07-11,10,8,0,0
2021-07-12,214,434,0,0
2021-07-13,186,609,0,0
2021-07-14,14722,499,0,0
2021-07-15,9466,480,0,0
2021-07-16,27961,196,0,0
2021-07-17,18236,41,0,0
2021-07-18,7919,24,0,0
2021-07-19,249,183,0,0
2021-07-20,347,50,0,0
2021-07-21,812,135,0,0
2021-07-22,180,95,0,0
2021-07-23,984,98,0,0
2021-07-24,31,18,0,0
2021-07-25,4,0,0,0
2021-07-26,78,47,0,0
2021-07-27,426,6368,0,0
2021-07-28,4,164,0,0
2021-07-29,19,79,0,0
2021-07-30,2663,3663,0,0
2021-07-31,163,327,0,0
2021-08-01,275,127,0,0
2021-08-02,335,257,0,0
2021-08-03,139,109,1,0
2021-08-04,46,12814,0,0
2021-08-05,295,9853,0,0
2021-08-06,636,24590,0,0
2021-08-07,616,18333,0,0
2021-08-08,323,7144,0,0
2021-08-09,30814,1804,0,0
2021-08-10,18607,1050,0,0
2021-08-11,516,678,0,0
2021-08-12,122,461,0,0
2021-08-13,139,1208,0,0
2021-08-14,29,263,0,0
2021-08-15,44,267,0,0
2021-08-16,171,425,0,0
2021-08-17,60,558,0,0
2021-08-18,90,410,0,0
2021-08-19,22,192,0,0
2021-08-20,12476,3830,0,0
2021-08-21,7151,1428,0,0
2021-08-22,670,169,0,0
2021-08-23,542,214,0,0
2021-08-24,135,95,0,0
2021-08-25,8815,318,0,0
2021-08-26,9667,690,1,0
2021-08-27,44,81,0,0
2021-08-28,13992,1423,0,0
2021-08-29,5233,644,0,0
2021-08-30,7,7,0,0
2021-08-31,11636,1251,0,0
2021-09-01,9169,34506,0,0
2021-09-02,8287,9845,0,0
2021-09-03,201,753,0,0
2021-09-04,13633,932,0,0
2021-09-05,6272,331,0,0
2021-09-06,15079,706,0,0
2021-09-07,8745,445,0,0
2021-09-08,8986,164,0,0
2021-09-09,14499,369,2,0
2021-09-10,11976,8967,0,0
2021-09-11,8516,6137,0,0
2021-09-12,1156,286,0,0
2021-09-13,155,480,0,0
2021-09-14,17125,1516,1,0
2021-09-15,10128,7389,0,0
2021-09-16,7574,8083,1,0
2021-09-17,1025,361,0,0
2021-09-18,4843,10713,0,0
2021-09-19,2606,5019,0,0
2021-09-20,161,341,8,0
2021-09-21,7588,10099,0,0
2021-09-22,9506,8432,0,0
2021-09-23,5955,7106,0,0
2021-09-24,913,719,0,0
2021-09-25,2785,10303,0,0
2021-09-26,1420,5409,0,0
2021-09-27,482,12027,0,0
2021-09-28,11902,8803,0,0
2021-09-29,9382,9217,0,0
2021-09-30,6412,11095,0,0
2021-10-01,2841,10858,2,0
2021-10-02,2433,7558,1,0
2021-10-03,591,1513,0,0
2021-10-04,348,614,0,0
2021-10-05,2066,13307,0,0
2021-10-06,1804,8266,2,0
2021-10-07,1361,5719,0,0
2021-10-08,177,550,0,0
2021-10-09,1696,4059,0,0
2021-10-10,617,1652,0,0
2021-10-11,213,472,0,0
2021-10-12,11414,6562,0,0
2021-10-13,7941,8078,1,0
2021-10-14,4876,5537,0,0
2021-10-15,2614,2136,0,0
2021-10-16,4162,3254,1331,0
2021-10-17,1481,1323,390,0
2021-10-18,936,904,1227,0
2021-10-19,1920,9394,936,0
2021-10-20,1716,7926,537,0
2021-10-21,1257,5301,395,0
2021-10-22,856,2714,102,0
2021-10-23,1427,2741,35,0
2021-10-24,608,897,6,0
2021-10-25,371,574,39,0
2021-10-26,744,1841,261,0
2021-10-27,625,1656,362,0
2021-10-28,542,1286,203,0
2021-10-29,336,569,633,0
2021-10-30,13605,1395,153,0
2021-10-31,11202,916,84,0
2021-11-01,636,230,11,0
2021-11-02,3768,1596,91,0
2021-11-03,2796,1551,211,0
2021-11-04,12495,1547,131,0
2021-11-05,15028,1484,120,0
2021-11-06,10784,1831,222,0
2021-11-07,4288,840,505,0
2021-11-08,1638,689,355,0
2021-11-09,2838,7312,339,0
2021-11-10,2173,5611,329,0
2021-11-11,1790,4097,275,0
2021-11-12,1582,2372,359,0
2021-11-13,2100,3256,80,0
2021-11-14,1250,1323,60,0
2021-11-15,1094,1064,63,0
2021-11-16,2453,2126,89,0
2021-11-17,2814,1987,174,0
2021-11-18,2377,1557,171,0
2021-11-19,2137,1191,181,0
2021-11-20,3000,10815,530,0
2021-11-21,2326,9593,477,0
2021-11-22,1429,2371,515,0
2021-11-23,2117,4007,614,0
2021-11-24,1623,2910,879,0
2021-11-25,1547,10367,1287,0
2021-11-26,1732,11859,3621,0
2021-11-27,2247,9610,5616,0
2021-11-28,1275,5073,3481,0
2021-11-29,1121,2628,3737,0
2021-11-30,1410,3090,4651,0
2021-12-01,1362,2568,5335,0
2021-12-02,1435,2887,5749,0
2021-12-03,1584,2332,4519,0
2021-12-04,1724,2702,3582,0
2021-12-05,1108,1730,1955,0
2021-12-06,1353,1777,2680,0
2021-12-07,1475,2184,2814,0
2021-12-08,536,618,928,0
2021-12-09,1599,2649,2869,0
2021-12-10,2515,3238,2516,0
2021-12-11,3011,3602,1900,0
2021-12-12,1702,2342,1019,0
2021-12-13,2942,3229,1838,0
2021-12-14,2664,3382,1953,0
2021-12-15,2007,3277,1833,0
2021-12-16,1502,2730,1542,0
2021-12-17,1195,2468,1229,0
2021-12-18,1274,3008,1212,0
2021-12-19,920,2366,871,0
2021-12-20,1062,2372,7081,0
2021-12-21,950,2418,12289,0
2021-12-22,779,1987,10733,0
2021-12-23,605,1541,6753,0
2021-12-24,195,576,2323,0
2021-12-25,7,28,134,0
2021-12-26,298,1201,4839,0
2021-12-27,659,2035,8549,0
2021-12-28,815,2211,10599,0
2021-12-29,712,1516,8084,0
2021-12-30,527,1422,6428,0
2021-12-31,189,652,1664,0
2022-01-01,16,78,286,0
2022-01-02,207,788,2909,0
2022-01-03,611,2002,7167,0
2022-01-04,616,2110,8086,0
2022-01-05,554,1609,7712,0
2022-01-06,629,1729,9349,0
2022-01-07,624,1769,9881,0
2022-01-08,503,1555,9006,0
2022-01-09,276,1000,4403,0
2022-01-10,629,1755,7367,0
2022-01-11,546,1406,7360,0
2022-01-12,503,1313,6553,0
2022-01-13,427,1227,6736,0
2022-01-14,372,1062,6560,0
2022-01-15,325,863,5942,0
2022-01-16,195,576,2660,0
