FECHA_VACUNACION,DOSIS1,DOSIS2,DOSIS3,DOSIS4
2021-02-10,2,0,0,0
2021-02-11,724,0,0,0
2021-02-12,446,0,0,0
2021-02-13,166,0,0,0
2021-02-15,33,0,0,0
2021-02-16,73,0,0,0
2021-02-17,81,0,0,0
2021-02-18,135,0,0,0
2021-02-19,904,0,0,0
2021-02-20,526,0,0,0
2021-02-21,122,0,0,0
2021-02-22,175,0,0,0
2021-02-23,67,0,0,0
2021-02-24,150,0,0,0
2021-02-25,148,0,0,0
2021-02-26,304,0,0,0
2021-02-27,253,0,0,0
2021-03-01,147,0,0,0
2021-03-02,32,0,0,0
2021-03-03,73,0,0,0
2021-03-04,0,521,0,0
2021-03-05,54,310,0,0
2021-03-06,0,376,0,0
2021-03-09,7,140,0,0
2021-03-11,41,161,0,0
2021-03-12,27,729,0,0
2021-03-13,0,635,0,0
2021-03-15,0,287,0,0
2021-03-16,0,61,0,0
2021-03-17,55,154,0,0
2021-03-18,14,143,0,0
2021-03-19,42,173,0,0
2021-03-20,10,320,0,0
2021-03-22,2,152,0,0
2021-03-23,15,149,0,0
2021-03-24,3,40,0,0
2021-03-26,42,85,0,0
2021-03-27,71,29,0,0
2021-03-29,13,43,0,0
2021-03-30,11,9,0,0
2021-03-31,10,5,0,0
2021-04-05,264,67,0,0
2021-04-06,137,6,0,0
2021-04-07,105,54,0,0
2021-04-08,326,14,0,0
2021-04-09,901,40,0,0
2021-04-10,12,0,0,0
2021-04-13,0,6,0,0
2021-04-14,7,31,0,0
2021-04-16,0,38,0,0
2021-04-17,534,0,0,0
2021-04-18,618,0,0,0
2021-04-19,18,0,0,0
2021-04-20,204,26,0,0
2021-04-21,0,65,0,0
2021-04-26,1171,23,0,0
2021-04-27,0,18,0,0
2021-04-28,0,223,0,0
2021-04-29,0,166,0,0
2021-04-30,0,130,0,0
2021-05-02,0,648,0,0
2021-05-03,0,498,0,0
2021-05-04,834,0,0,0
2021-05-05,726,20,0,0
2021-05-06,912,6,0,0
2021-05-07,420,0,0,0
2021-05-08,618,0,0,0
2021-05-12,1170,0,0,0
2021-05-13,2547,1251,0,0
2021-05-14,3156,60,0,0
2021-05-15,1554,6,0,0
2021-05-17,358,2,0,0
2021-05-18,0,1038,0,0
2021-05-19,2767,3,0,0
2021-05-20,2609,1,0,0
2021-05-21,3288,0,0,0
2021-05-22,3042,1,0,0
2021-05-24,2801,0,0,0
2021-05-25,1203,2,0,0
2021-05-26,288,0,0,0
2021-05-27,1074,0,0,0
2021-05-28,420,1577,0,0
2021-05-29,318,1091,0,0
2021-05-31,2168,436,0,0
2021-06-01,3018,17,0,0
2021-06-02,2925,65,0,0
2021-06-03,2456,177,0,0
2021-06-04,0,11,0,0
2021-06-05,13,29,0,0
2021-06-07,22,159,0,0
2021-06-08,18,3858,0,0
2021-06-09,25,3533,0,0
2021-06-10,3499,323,0,0
2021-06-11,4160,171,0,0
2021-06-12,3053,139,0,0
2021-06-14,2796,157,0,0
2021-06-15,45,4022,0,0
2021-06-16,49,3947,0,0
2021-06-17,78,3391,0,0
2021-06-18,888,2581,0,0
2021-06-21,1971,591,0,0
2021-06-22,554,3241,0,0
2021-06-23,391,2800,0,0
2021-06-24,376,2678,0,0
2021-06-25,600,2636,0,0
2021-06-26,453,1,0,0
2021-06-27,1,0,0,0
2021-06-28,1111,574,0,0
2021-06-29,72,0,0,0
2021-06-30,2765,247,0,0
2021-07-01,3862,69,0,0
2021-07-02,615,2913,0,0
2021-07-03,233,2839,0,0
2021-07-05,397,3071,0,0
2021-07-06,996,2462,0,0
2021-07-07,3491,722,0,0
2021-07-08,4319,308,0,0
2021-07-09,4711,286,0,0
2021-07-10,2346,528,0,0
2021-07-12,3816,414,0,0
2021-07-13,3272,1126,0,0
2021-07-14,4124,620,0,0
2021-07-15,5312,420,0,0
2021-07-16,5069,417,0,0
2021-07-17,5477,338,0,0
