FECHA_VACUNACION,DOSIS1,DOSIS2,DOSIS3,DOSIS4
2021-02-08,1,0,0,0
2021-02-09,18,0,0,0
2021-02-10,1021,0,0,0
2021-02-11,2835,0,0,0
2021-02-12,1783,0,0,0
2021-02-13,188,0,0,0
2021-02-15,1,0,0,0
2021-02-16,2,0,0,0
2021-02-18,1789,0,0,0
2021-02-19,2657,0,0,0
2021-02-20,750,0,0,0
2021-02-21,1,0,0,0
2021-02-22,257,0,0,0
2021-02-23,180,0,0,0
2021-02-24,149,0,0,0
2021-02-25,106,0,0,0
2021-02-26,411,0,0,0
2021-02-27,184,0,0,0
2021-02-28,15,0,0,0
2021-03-01,664,0,0,0
2021-03-02,301,3,0,0
2021-03-03,100,906,0,0
2021-03-04,164,2497,0,0
2021-03-05,353,1741,0,0
2021-03-06,89,232,0,0
2021-03-07,0,7,0,0
2021-03-08,55,81,0,0
2021-03-09,9,58,0,0
2021-03-10,97,20,0,0
2021-03-11,13,138,0,0
2021-03-12,3,340,0,0
2021-03-13,52,2946,0,0
2021-03-14,2,53,0,0
2021-03-15,122,1161,0,0
2021-03-16,26,553,0,0
2021-03-17,15,180,0,0
2021-03-18,37,174,0,0
2021-03-19,26,458,0,0
2021-03-20,10,273,0,0
2021-03-21,1,5,0,0
2021-03-22,19,385,0,0
2021-03-23,19,453,0,0
2021-03-24,9,190,0,0
2021-03-25,6,219,0,0
2021-03-26,9,279,0,0
2021-03-27,128,25,0,0
2021-03-28,1,0,0,0
2021-03-29,329,186,0,0
2021-03-30,715,45,0,0
2021-03-31,1133,138,0,0
2021-04-01,263,35,0,0
2021-04-02,59,11,0,0
2021-04-03,8,31,0,0
2021-04-04,7,1,0,0
2021-04-05,130,83,0,0
2021-04-06,78,41,0,0
2021-04-07,652,101,0,0
2021-04-08,291,34,0,0
2021-04-09,66,88,0,0
2021-04-10,0,8,0,0
2021-04-12,0,16,0,0
2021-04-13,0,29,0,0
2021-04-14,175,20,0,0
2021-04-15,0,21,0,0
2021-04-16,0,30,0,0
2021-04-17,54,128,0,0
2021-04-18,0,2,0,0
2021-04-19,0,296,0,0
2021-04-20,0,670,0,0
2021-04-21,847,1083,0,0
2021-04-22,1465,249,0,0
2021-04-23,78,153,0,0
2021-04-24,44,17,0,0
2021-04-25,0,2,0,0
2021-04-26,1,111,0,0
2021-04-27,8,69,0,0
2021-04-28,5,633,0,0
2021-04-29,7,301,0,0
2021-04-30,63,102,0,0
2021-05-03,1327,1,0,0
2021-05-04,1527,2,0,0
2021-05-05,2622,999,0,0
2021-05-06,3191,2,0,0
2021-05-07,2659,1,0,0
2021-05-08,1275,2,0,0
2021-05-10,292,3,0,0
2021-05-11,1000,427,0,0
2021-05-12,361,724,0,0
2021-05-13,2807,1325,0,0
2021-05-14,1098,230,0,0
2021-05-15,615,7,0,0
2021-05-16,31,0,0,0
2021-05-17,3267,1,0,0
2021-05-18,4151,0,0,0
2021-05-19,3700,0,0,0
2021-05-20,5499,1,0,0
2021-05-21,3684,2,0,0
2021-05-22,409,1,0,0
2021-05-23,0,1,0,0
2021-05-24,685,915,0,0
2021-05-25,646,1805,0,0
2021-05-26,743,2459,0,0
2021-05-27,4623,2982,0,0
2021-05-28,7362,2260,0,0
2021-05-29,3667,1633,0,0
2021-05-30,539,9,0,0
2021-05-31,6776,28,0,0
2021-06-01,10279,780,0,0
2021-06-02,8529,667,0,0
2021-06-03,6779,582,0,0
2021-06-04,3931,206,0,0
2021-06-05,880,315,0,0
2021-06-06,969,11,0,0
2021-06-07,1270,93,0,0
2021-06-08,3035,4755,0,0
2021-06-09,1923,4593,0,0
2021-06-10,5749,5756,0,0
2021-06-11,3919,4081,0,0
2021-06-12,1550,379,0,0
2021-06-13,913,0,0,0
2021-06-14,7439,749,0,0
2021-06-15,7662,758,0,0
2021-06-16,7405,832,0,0
2021-06-17,4201,4402,0,0
2021-06-18,2555,6844,0,0
2021-06-19,1011,3527,0,0
2021-06-20,192,0,0,0
2021-06-21,3128,8172,0,0
2021-06-22,2730,11681,0,0
2021-06-23,2102,8346,0,0
2021-06-24,3990,6389,0,0
2021-06-25,2584,3979,0,0
2021-06-26,622,901,0,0
2021-06-27,757,749,0,0
2021-06-28,1083,1141,0,0
2021-06-29,669,1921,0,0
2021-06-30,2496,2358,0,0
2021-07-01,756,5075,0,0
2021-07-02,1846,4138,0,0
2021-07-03,5234,1897,0,0
2021-07-04,3085,1071,0,0
2021-07-05,2857,6419,0,0
2021-07-06,5098,6673,0,0
2021-07-07,4090,7073,0,0
2021-07-08,2558,4409,0,0
2021-07-09,2343,2242,0,0
2021-07-10,8946,1328,0,0
2021-07-11,8650,378,0,0
2021-07-12,2804,2811,0,0
2021-07-13,9834,2229,0,0
2021-07-14,11926,2197,0,0
2021-07-15,13880,3642,0,0
2021-07-16,15367,2519,0,0
2021-07-17,11785,919,0,0
2021-07-18,3696,664,0,0
2021-07-19,14591,1155,0,0
2021-07-20,15334,854,0,0
2021-07-21,11708,546,0,0
2021-07-22,8851,527,0,0
2021-07-23,10595,328,0,0
2021-07-24,700,3720,0,0
2021-07-25,348,2908,0,0
2021-07-26,777,3255,0,0
2021-07-27,457,5660,0,0
2021-07-28,164,360,0,0
2021-07-29,156,422,0,0
2021-07-30,563,2016,0,0
2021-07-31,549,5913,1,0
2021-08-01,187,4818,0,0
2021-08-02,55,3896,0,0
2021-08-03,26,7119,0,0
2021-08-04,71,9225,0,0
2021-08-05,436,15796,0,0
2021-08-06,8805,15435,0,0
2021-08-07,28373,11508,0,0
2021-08-08,10311,4736,0,0
2021-08-09,574,2042,0,0
2021-08-10,286,4524,0,0
2021-08-11,160,1725,0,0
2021-08-12,211,1358,0,0
2021-08-13,130,195,0,0
2021-08-14,24,988,0,0
2021-08-15,2,294,0,0
2021-08-16,81,389,0,0
2021-08-17,22,21291,0,0
2021-08-18,14,19981,0,0
2021-08-19,38,9409,0,0
2021-08-20,78,6077,0,0
2021-08-21,6749,1863,0,0
2021-08-22,7456,2272,0,0
2021-08-23,638,830,0,0
2021-08-24,104,175,0,0
2021-08-25,35,171,0,0
2021-08-26,241,290,0,0
2021-08-27,381,7148,0,0
2021-08-28,80,21977,0,0
2021-08-29,4666,7124,0,0
2021-08-30,12,46,0,0
2021-08-31,125,236,0,0
2021-09-01,49,718,0,0
2021-09-02,2774,2648,0,0
2021-09-03,20294,4004,1,0
2021-09-04,14678,1914,0,0
2021-09-05,2608,243,0,0
2021-09-06,5,182,0,0
2021-09-07,7185,751,0,0
2021-09-08,23765,1761,0,0
2021-09-09,19941,1062,2,0
2021-09-10,3720,225,0,0
2021-09-11,42781,5163,0,0
2021-09-12,25577,5503,0,0
2021-09-13,3011,592,0,0
2021-09-14,3774,256,0,0
2021-09-15,811,55,0,0
2021-09-16,11998,2136,0,0
2021-09-17,14488,1466,0,0
2021-09-18,12599,1172,1,0
2021-09-19,3149,894,0,0
2021-09-20,1737,342,0,0
2021-09-21,583,304,0,0
2021-09-22,1443,311,0,0
2021-09-23,2860,516,0,0
2021-09-24,6471,16841,0,0
2021-09-25,8362,13299,0,0
2021-09-26,3113,4139,0,0
2021-09-27,2634,1261,0,0
2021-09-28,3601,5312,0,0
2021-09-29,4503,16526,0,0
2021-09-30,3896,15383,0,0
2021-10-01,2072,3740,0,0
2021-10-02,5063,32256,0,0
2021-10-03,4898,19797,0,0
2021-10-04,2242,6767,0,0
2021-10-05,1968,4961,0,0
2021-10-06,1663,2220,0,0
2021-10-07,1712,7470,0,0
2021-10-08,1776,8719,0,0
2021-10-09,2512,12092,0,0
2021-10-10,1586,3248,1,0
2021-10-11,1418,3584,0,0
2021-10-12,1563,3577,0,0
2021-10-13,1975,3084,1,0
2021-10-14,2211,3368,0,0
2021-10-15,2919,5715,2807,0
2021-10-16,8163,6850,1567,0
2021-10-17,8153,3300,636,0
2021-10-18,13806,3314,1487,0
2021-10-19,7574,3140,767,0
2021-10-20,2455,3933,524,0
2021-10-21,2299,3091,187,0
2021-10-22,1494,2057,356,0
2021-10-23,18016,3986,37,0
2021-10-24,8973,2415,6,0
2021-10-25,5036,2592,93,0
2021-10-26,3197,2232,51,0
2021-10-27,2317,1653,51,0
2021-10-28,1668,1148,33,0
2021-10-29,2850,1182,102,0
2021-10-30,4712,3071,47,0
2021-10-31,2244,1497,10,0
2021-11-01,380,316,24,0
2021-11-02,1336,1216,34,0
2021-11-03,1077,918,33,0
2021-11-04,665,460,30,0
2021-11-05,431,493,226,0
2021-11-06,5446,7403,53,0
