FECHA_VACUNACION,DOSIS1,DOSIS2,DOSIS3
2021-02-10,248,0,0
2021-02-11,539,0,0
2021-02-12,284,0,0
2021-02-13,175,0,0
2021-02-14,26,0,0
2021-02-15,236,0,0
2021-02-16,223,0,0
2021-02-17,55,0,0
2021-02-18,216,0,0
2021-02-19,1071,0,0
2021-02-20,590,0,0
2021-02-21,250,0,0
2021-02-22,367,0,0
2021-02-23,90,0,0
2021-02-24,114,0,0
2021-02-25,59,0,0
2021-02-26,365,0,0
2021-02-27,32,0,0
2021-02-28,30,0,0
2021-03-01,164,0,0
2021-03-02,67,0,0
2021-03-03,101,84,0
2021-03-04,46,403,0
2021-03-05,29,284,0
2021-03-06,10,117,0
2021-03-07,1,28,0
2021-03-08,22,268,0
2021-03-09,44,67,0
2021-03-10,66,213,0
2021-03-11,18,89,0
2021-03-12,11,281,0
2021-03-13,21,671,0
2021-03-14,9,304,0
2021-03-15,16,470,0
2021-03-16,16,357,0
2021-03-17,5,180,0
2021-03-18,10,112,0
2021-03-19,10,363,0
2021-03-20,3,46,0
2021-03-21,1,49,0
2021-03-22,12,232,0
2021-03-23,12,96,0
2021-03-24,22,118,0
2021-03-25,8,64,0
2021-03-26,3,45,0
2021-03-27,5,23,0
2021-03-28,0,10,0
2021-03-29,7,41,0
2021-03-30,3,48,0
2021-03-31,27,77,0
2021-04-01,5,38,0
2021-04-02,4,22,0
2021-04-03,6,14,0
2021-04-04,27,8,0
2021-04-05,37,56,0
2021-04-06,14,31,0
2021-04-07,11,10,0
2021-04-08,16,20,0
2021-04-09,307,7,0
2021-04-10,0,7,0
2021-04-11,0,2,0
2021-04-12,0,14,0
2021-04-13,0,10,0
2021-04-14,64,18,0
2021-04-15,1,16,0
2021-04-16,0,11,0
2021-04-17,0,8,0
2021-04-18,0,2,0
2021-04-19,0,11,0
2021-04-20,1,12,0
2021-04-21,5,26,0
2021-04-22,903,9,0
2021-04-23,270,8,0
2021-04-24,0,8,0
2021-04-25,0,25,0
2021-04-26,1897,31,0
2021-04-27,3179,17,0
2021-04-28,3054,25,0
2021-04-29,2565,16,0
2021-04-30,2989,281,0
2021-05-01,1210,11,0
2021-05-02,665,0,0
2021-05-03,732,7,0
2021-05-04,982,5,0
2021-05-05,1072,297,0
2021-05-06,1370,3,0
2021-05-07,801,5,0
2021-05-08,227,0,0
2021-05-09,10,0,0
2021-05-10,153,4,0
2021-05-11,613,3,0
2021-05-12,447,4,0
2021-05-13,480,912,0
2021-05-14,1244,228,0
2021-05-15,1384,6,0
2021-05-16,758,2,0
2021-05-17,148,10,0
2021-05-18,100,0,0
2021-05-19,282,0,0
2021-05-20,112,3,0
2021-05-21,103,15,0
2021-05-22,123,8,0
2021-05-23,71,0,0
2021-05-24,6,97,0
2021-05-25,5,89,0
2021-05-26,9,11,0
2021-05-27,15,9,0
2021-05-28,0,19,0
2021-05-29,1,1,0
2021-05-30,0,2,0
2021-05-31,0,12,0
2021-06-01,40,1,0
2021-06-02,81,2,0
2021-06-03,49,2,0
