FECHA_VACUNACION,DOSIS1,DOSIS2,DOSIS3,DOSIS4
2021-01-02,3,0,0,0
2021-02-08,0,0,0,14
2021-02-09,2,0,0,0
2021-02-10,914,0,0,0
2021-02-11,1746,0,0,0
2021-02-12,941,0,0,0
2021-02-13,126,0,0,0
2021-02-14,110,0,0,0
2021-02-15,100,0,0,0
2021-02-16,494,1,0,0
2021-02-17,592,0,0,0
2021-02-18,83,0,0,0
2021-02-19,1357,0,0,0
2021-02-20,1749,0,0,0
2021-02-21,212,0,0,0
2021-02-22,994,0,0,0
2021-02-23,618,0,0,0
2021-02-24,432,0,0,0
2021-02-25,157,0,0,0
2021-02-26,148,0,0,0
2021-02-27,43,0,0,0
2021-02-28,9,0,0,0
2021-03-01,59,0,0,0
2021-03-02,61,0,0,0
2021-03-03,505,981,0,0
2021-03-04,63,1231,0,0
2021-03-05,31,874,0,0
2021-03-06,223,120,0,0
2021-03-07,6,87,0,0
2021-03-08,73,229,0,0
2021-03-09,17,402,0,0
2021-03-10,54,487,0,0
2021-03-11,17,178,0,0
2021-03-12,21,1273,0,0
2021-03-13,187,1216,0,0
2021-03-14,2,107,0,0
2021-03-15,47,1035,0,0
2021-03-16,23,839,0,0
2021-03-17,108,449,0,0
2021-03-18,25,327,0,0
2021-03-19,31,252,0,0
2021-03-20,5,51,0,0
2021-03-21,0,17,0,0
2021-03-22,17,117,0,0
2021-03-23,12,54,0,0
2021-03-24,29,539,0,0
2021-03-25,10,87,0,0
2021-03-26,183,44,0,0
2021-03-27,1,189,0,0
2021-03-28,6,18,0,0
2021-03-29,479,68,0,0
2021-03-30,133,58,0,0
2021-03-31,210,118,0,0
2021-04-01,7,17,0,0
2021-04-02,0,4,0,0
2021-04-03,14,21,0,0
2021-04-04,28,2,0,0
2021-04-05,63,235,0,0
2021-04-06,458,35,0,0
2021-04-07,387,102,0,0
2021-04-08,8,22,0,0
2021-04-09,28,53,0,0
2021-04-10,2,4,0,0
2021-04-11,0,3,0,0
2021-04-12,0,27,0,0
2021-04-13,0,7,0,0
2021-04-14,2,17,0,0
2021-04-15,1,18,0,0
2021-04-16,18,219,0,0
2021-04-17,236,4,0,0
2021-04-18,77,2,0,0
2021-04-19,5,393,0,0
2021-04-20,2,179,0,0
2021-04-21,10,185,0,0
2021-04-22,751,47,0,0
2021-04-23,1363,18,0,0
2021-04-24,264,4,0,0
2021-04-25,0,6,0,0
2021-04-26,3,87,0,0
2021-04-27,0,420,0,0
2021-04-28,2521,358,1,0
2021-04-29,2035,39,2,0
2021-04-30,1695,52,0,0
2021-05-01,648,4,0,0
2021-05-02,1,1,0,0
2021-05-03,42,8,0,0
2021-05-04,379,31,0,0
2021-05-05,1908,7,0,0
2021-05-06,2998,5,0,0
2021-05-07,2131,4,0,0
2021-05-08,1151,3,0,0
2021-05-10,271,86,0,0
2021-05-11,2700,1548,0,0
2021-05-12,7882,87,0,0
2021-05-13,6370,641,0,0
2021-05-14,5137,1260,0,0
2021-05-15,1573,132,0,0
2021-05-16,24,0,0,0
2021-05-17,1010,111,0,0
2021-05-18,395,50,0,0
2021-05-19,821,2273,0,0
