FECHA_VACUNACION,DOSIS1,DOSIS2,DOSIS3
2021-02-11,174,0,0
2021-02-12,182,0,0
2021-02-13,64,0,0
2021-02-14,9,0,0
2021-02-15,92,0,0
2021-02-20,66,0,0
2021-02-22,617,0,0
2021-02-23,261,0,0
2021-02-24,144,0,0
2021-02-25,21,0,0
2021-02-26,27,0,0
2021-02-28,21,0,0
2021-03-01,57,0,0
2021-03-02,8,0,0
2021-03-03,6,0,0
2021-03-04,28,135,0
2021-03-05,152,165,0
2021-03-06,0,73,0
2021-03-08,12,73,0
2021-03-09,20,14,0
2021-03-10,24,15,0
2021-03-11,6,0,0
2021-03-12,0,2,0
2021-03-13,0,64,0
2021-03-15,26,428,0
2021-03-16,22,235,0
2021-03-17,9,138,0
2021-03-18,56,65,0
2021-03-19,3,57,0
2021-03-20,7,1,0
2021-03-21,0,1,0
2021-03-22,3,36,0
2021-03-23,2,59,0
2021-03-24,0,29,0
2021-03-25,10,39,0
2021-03-26,8,116,0
2021-03-27,0,2,0
2021-03-29,0,7,0
2021-03-30,1,20,0
2021-03-31,49,69,0
2021-04-01,0,1,0
2021-04-03,0,6,0
2021-04-04,1,0,0
2021-04-05,14,27,0
2021-04-06,85,17,0
2021-04-07,5,11,0
2021-04-08,85,57,0
2021-04-09,138,8,0
2021-04-10,0,10,0
2021-04-11,0,1,0
2021-04-12,0,13,0
2021-04-14,11,3,0
2021-04-15,3,28,0
2021-04-16,4,19,0
2021-04-19,6,1,0
2021-04-20,0,2,0
2021-04-21,3,38,0
2021-04-23,355,3,0
2021-04-24,330,1,0
2021-04-25,18,2,0
2021-04-27,342,44,0
2021-04-28,541,2,0
2021-04-29,423,63,0
2021-04-30,482,124,0
2021-05-01,0,56,0
2021-05-02,0,1,0
2021-05-03,138,2,0
2021-05-04,53,1,0
2021-05-05,68,17,0
2021-05-06,88,3,0
2021-05-07,60,21,0
2021-05-10,0,5,0
2021-05-12,1,1,0
2021-05-13,11,2,0
2021-05-14,9,1,0
2021-05-15,129,0,0
2021-05-17,10,0,0
2021-05-19,185,0,0
2021-05-20,1,1,0
2021-05-21,508,6,0
2021-05-22,351,0,0
2021-05-24,38,262,0
2021-05-25,142,338,0
2021-05-26,77,41,0
2021-05-27,10,0,0
2021-05-28,724,0,0
2021-05-29,41,122,0
2021-05-31,19,21,0
2021-06-02,50,43,0
2021-06-03,17,7,0
2021-06-04,9,12,0
2021-06-08,146,722,0
2021-06-09,264,383,0
2021-06-10,545,242,0
2021-06-11,242,62,0
2021-06-12,248,104,0
2021-06-14,232,25,0
2021-06-15,936,83,0
2021-06-16,968,239,0
2021-06-17,678,56,0
2021-06-18,138,17,0
2021-06-19,0,1,0
2021-06-20,51,19,0
2021-06-21,173,0,0
2021-06-22,407,584,0
2021-06-23,197,255,0
2021-06-24,189,145,0
2021-06-25,253,32,0
2021-06-26,59,57,0
2021-06-27,4,9,0
2021-06-28,73,32,0
2021-06-29,226,382,0
2021-06-30,288,210,0
2021-07-01,212,93,0
2021-07-02,95,23,0
2021-07-03,140,75,0
2021-07-05,22,7,0
2021-07-06,609,85,0
2021-07-07,723,153,0
2021-07-08,742,354,0
2021-07-09,419,156,0
2021-07-10,218,6,0
2021-07-11,21,0,0
2021-07-12,54,81,0
2021-07-13,433,716,0
2021-07-14,337,642,0
2021-07-15,434,638,0
2021-07-16,88,203,0
2021-07-17,147,176,0
2021-07-19,207,103,0
2021-07-20,475,489,0
2021-07-21,227,194,0
2021-07-22,252,209,0
2021-07-23,177,155,0
2021-07-24,304,208,0
2021-07-25,112,92,0
2021-07-26,148,169,0
2021-07-27,158,195,0
2021-07-28,42,107,0
2021-07-29,28,108,0
2021-07-30,78,160,0
2021-07-31,19,64,0
2021-08-01,6,16,0
2021-08-02,156,20,0
2021-08-03,668,434,0
2021-08-04,630,590,0
2021-08-05,608,261,0
2021-08-06,383,302,1
2021-08-07,20,63,0
2021-08-08,4,3,0
2021-08-09,867,177,0
2021-08-10,990,344,0
2021-08-11,925,576,0
2021-08-12,854,447,0
2021-08-13,848,611,0
2021-08-14,342,143,0
2021-08-15,69,3,0
2021-08-16,431,317,0
2021-08-17,419,412,0
2021-08-18,394,308,0
2021-08-19,664,260,0
2021-08-20,698,386,0
2021-08-21,550,166,0
2021-08-22,3,3,0
2021-08-23,131,165,0
2021-08-24,262,325,0
2021-08-25,365,428,0
2021-08-26,356,428,0
2021-08-27,553,490,0
2021-08-28,115,74,0
2021-08-29,8,8,0
2021-08-30,181,313,0
2021-08-31,184,532,0
2021-09-01,373,514,0
2021-09-02,400,682,0
2021-09-03,333,735,0
2021-09-04,420,347,0
2021-09-05,64,64,0
2021-09-06,163,239,0
2021-09-07,1368,599,0
2021-09-08,715,571,0
2021-09-09,630,442,0
2021-09-10,320,364,0
2021-09-11,753,116,0
2021-09-12,64,47,0
2021-09-13,1724,318,0
2021-09-14,2098,628,0
2021-09-15,2369,450,0
2021-09-16,1037,284,0
2021-09-17,1282,211,0
2021-09-18,918,177,0
2021-09-19,130,25,0
2021-09-20,638,200,0
2021-09-21,2165,383,0
2021-09-22,1622,462,0
2021-09-23,840,490,0
2021-09-24,1107,341,0
2021-09-25,385,165,0
2021-09-26,279,42,0
2021-09-27,583,225,0
2021-09-28,329,425,0
2021-09-29,908,706,0
2021-09-30,559,571,0
2021-10-01,270,221,0
2021-10-02,727,646,11
2021-10-03,90,66,0
2021-10-04,665,806,0
2021-10-05,1057,985,0
2021-10-06,975,1208,0
2021-10-07,264,465,0
2021-10-08,719,758,0
2021-10-09,216,804,0
2021-10-10,71,213,0
2021-10-11,103,191,0
2021-10-12,694,321,0
