FECHA_VACUNACION,DOSIS1,DOSIS2,DOSIS3,DOSIS4
2021-02-11,174,0,0,0
2021-02-12,182,0,0,0
2021-02-13,64,0,0,0
2021-02-14,9,0,0,0
2021-02-15,92,0,0,0
2021-02-20,66,0,0,0
2021-02-22,617,0,0,0
2021-02-23,261,0,0,0
2021-02-24,144,0,0,0
2021-02-25,21,0,0,0
2021-02-26,27,0,0,0
2021-02-28,21,0,0,0
2021-03-01,57,0,0,0
2021-03-02,8,0,0,0
2021-03-03,6,0,0,0
2021-03-04,28,135,0,0
2021-03-05,152,165,0,0
2021-03-06,0,73,0,0
2021-03-08,12,73,0,0
2021-03-09,20,14,0,0
2021-03-10,24,15,0,0
2021-03-11,6,0,0,0
2021-03-12,0,2,0,0
2021-03-13,0,64,0,0
2021-03-15,26,428,0,0
2021-03-16,22,235,0,0
2021-03-17,9,138,0,0
2021-03-18,56,65,0,0
2021-03-19,3,57,0,0
2021-03-20,7,1,0,0
2021-03-21,0,1,0,0
2021-03-22,3,36,0,0
2021-03-23,2,59,0,0
2021-03-24,0,29,0,0
2021-03-25,10,39,0,0
2021-03-26,8,116,0,0
2021-03-27,0,2,0,0
2021-03-29,0,7,0,0
2021-03-30,1,20,0,0
2021-03-31,49,69,0,0
2021-04-01,0,1,0,0
2021-04-03,0,6,0,0
2021-04-04,1,0,0,0
2021-04-05,14,27,0,0
2021-04-06,85,17,0,0
2021-04-07,5,11,0,0
2021-04-08,85,57,0,0
2021-04-09,138,8,0,0
2021-04-10,0,10,0,0
2021-04-11,0,1,0,0
2021-04-12,0,13,0,0
2021-04-14,11,3,0,0
2021-04-15,3,28,0,0
2021-04-16,4,19,0,0
2021-04-19,6,1,0,0
2021-04-20,0,2,0,0
2021-04-21,3,38,0,0
2021-04-23,355,3,0,0
2021-04-24,330,1,0,0
2021-04-25,18,2,0,0
2021-04-27,342,44,0,0
2021-04-28,541,2,0,0
2021-04-29,423,63,0,0
2021-04-30,482,124,0,0
2021-05-01,0,56,0,0
2021-05-02,0,1,0,0
2021-05-03,138,2,0,0
2021-05-04,53,1,0,0
2021-05-05,68,17,0,0
2021-05-06,89,3,0,0
2021-05-07,60,21,0,0
2021-05-10,0,5,0,0
2021-05-12,1,1,0,0
2021-05-13,11,2,0,0
2021-05-14,9,1,0,0
2021-05-15,129,0,0,0
2021-05-17,10,0,0,0
2021-05-19,185,0,0,0
2021-05-20,1,1,0,0
2021-05-21,508,6,0,0
2021-05-22,351,0,0,0
2021-05-24,38,262,0,0
2021-05-25,142,338,0,0
2021-05-26,77,41,0,0
2021-05-27,10,0,0,0
2021-05-28,724,0,0,0
2021-05-29,41,122,0,0
2021-05-31,19,21,0,0
2021-06-02,50,43,0,0
2021-06-03,17,7,0,0
2021-06-04,9,12,0,0
2021-06-08,146,722,0,0
2021-06-09,264,383,0,0
2021-06-10,545,242,0,0
2021-06-11,242,62,0,0
2021-06-12,248,104,0,0
2021-06-14,232,25,0,0
2021-06-15,936,83,0,0
2021-06-16,968,239,0,0
2021-06-17,678,56,0,0
2021-06-18,138,17,0,0
2021-06-19,0,1,0,0
2021-06-20,51,19,0,0
2021-06-21,173,0,0,0
2021-06-22,407,585,0,0
2021-06-23,197,255,0,0
2021-06-24,189,145,0,0
2021-06-25,253,32,0,0
2021-06-26,59,57,0,0
2021-06-27,4,9,0,0
2021-06-28,74,32,0,0
2021-06-29,227,382,0,0
2021-06-30,288,211,0,0
2021-07-01,212,93,0,0
2021-07-02,95,23,0,0
2021-07-03,140,75,0,0
2021-07-05,22,7,0,0
2021-07-06,609,85,0,0
2021-07-07,723,153,0,0
2021-07-08,742,354,0,0
2021-07-09,419,156,0,0
2021-07-10,218,6,0,0
2021-07-11,21,0,0,0
2021-07-12,54,81,0,0
2021-07-13,433,716,0,0
2021-07-14,337,642,0,0
2021-07-15,434,638,0,0
2021-07-16,88,203,0,0
2021-07-17,147,176,0,0
2021-07-19,207,103,0,0
2021-07-20,475,489,0,0
2021-07-21,228,194,0,0
2021-07-22,252,210,0,0
2021-07-23,177,155,0,0
2021-07-24,304,208,0,0
2021-07-25,112,92,0,0
2021-07-26,148,169,0,0
2021-07-27,158,195,0,0
2021-07-28,42,107,0,0
2021-07-29,28,108,0,0
2021-07-30,78,160,0,0
2021-07-31,19,64,0,0
2021-08-01,5,16,0,0
2021-08-02,156,20,0,0
2021-08-03,668,434,0,0
2021-08-04,631,590,0,0
2021-08-05,610,261,0,0
2021-08-06,383,302,1,0
2021-08-07,20,63,0,0
2021-08-08,4,3,0,0
2021-08-09,867,177,0,0
2021-08-10,989,344,0,0
2021-08-11,924,576,0,0
2021-08-12,854,447,0,0
2021-08-13,849,611,0,0
2021-08-14,341,143,0,0
2021-08-15,69,3,0,0
2021-08-16,430,318,0,0
2021-08-17,419,412,0,0
2021-08-18,393,309,0,0
2021-08-19,664,260,0,0
2021-08-20,699,386,0,0
2021-08-21,550,166,0,0
2021-08-22,3,3,0,0
2021-08-23,131,165,0,0
2021-08-24,262,325,0,0
2021-08-25,365,428,0,0
2021-08-26,356,429,0,0
2021-08-27,554,492,0,0
2021-08-28,115,74,0,0
2021-08-29,8,8,0,0
2021-08-30,181,314,0,0
2021-08-31,184,533,0,0
2021-09-01,377,513,0,0
2021-09-02,302,682,0,0
2021-09-03,330,736,0,0
2021-09-04,419,346,0,0
2021-09-05,64,64,0,0
2021-09-06,163,239,0,0
2021-09-07,1368,600,0,0
2021-09-08,719,571,0,0
2021-09-09,630,442,0,0
2021-09-10,322,365,0,0
2021-09-11,753,116,0,0
2021-09-12,64,47,0,0
2021-09-13,1723,318,0,0
2021-09-14,2099,640,0,0
2021-09-15,2373,451,0,0
2021-09-16,1037,284,0,0
2021-09-17,1289,218,0,0
2021-09-18,918,178,0,0
2021-09-19,130,25,0,0
2021-09-20,638,201,0,0
2021-09-21,2167,383,0,0
2021-09-22,1622,466,0,0
2021-09-23,838,490,0,0
2021-09-24,1108,342,0,0
2021-09-25,385,165,0,0
2021-09-26,279,42,0,0
2021-09-27,583,226,0,0
2021-09-28,329,424,0,0
2021-09-29,908,708,0,0
2021-09-30,559,490,1,0
2021-10-01,271,222,0,0
2021-10-02,702,645,11,0
2021-10-03,91,66,0,0
2021-10-04,665,807,0,0
2021-10-05,1058,985,0,0
2021-10-06,973,1211,0,0
2021-10-07,266,471,0,0
2021-10-08,717,774,0,0
2021-10-09,215,805,0,0
2021-10-10,71,214,0,0
2021-10-11,104,193,0,0
2021-10-12,696,321,0,0
2021-10-13,550,1467,0,0
2021-10-14,954,1404,0,0
2021-10-15,391,647,24,0
2021-10-16,288,343,90,0
2021-10-17,564,237,72,0
2021-10-18,485,1151,30,0
2021-10-19,342,736,0,0
2021-10-20,433,769,60,0
2021-10-21,203,377,70,0
2021-10-22,299,485,46,0
2021-10-23,283,689,67,0
2021-10-24,116,16,0,0
2021-10-25,164,857,85,0
2021-10-26,167,438,73,0
2021-10-27,294,1062,30,0
2021-10-28,1251,485,24,0
2021-10-29,452,148,25,0
2021-10-30,123,387,7,0
2021-10-31,2,9,0,0
2021-11-01,4,3,1,0
2021-11-02,154,55,7,0
2021-11-03,351,181,17,0
2021-11-04,491,511,12,0
2021-11-05,353,695,181,0
2021-11-06,415,497,19,0
2021-11-07,3,17,0,0
2021-11-08,2303,338,32,0
2021-11-09,1831,647,39,0
2021-11-10,1087,314,15,0
2021-11-11,877,287,4,0
2021-11-12,277,102,27,0
2021-11-13,370,107,63,0
2021-11-14,26,21,0,0
2021-11-15,906,544,11,0
2021-11-16,1311,378,16,0
2021-11-17,1162,474,49,0
2021-11-18,900,321,21,0
2021-11-19,1068,372,56,0
2021-11-20,741,273,4,0
2021-11-21,416,417,9,0
2021-11-22,1209,292,5,0
2021-11-23,901,225,54,0
2021-11-24,1064,311,23,0
2021-11-25,608,238,34,0
2021-11-26,629,388,37,0
2021-11-27,390,147,18,0
2021-11-28,380,142,1,0
2021-11-29,679,528,149,0
2021-11-30,565,1107,164,0
2021-12-01,661,1138,111,0
2021-12-02,951,1100,196,0
2021-12-03,963,812,157,0
2021-12-04,333,369,506,0
2021-12-05,33,19,2,0
2021-12-06,857,808,105,0
2021-12-07,1228,834,566,0
2021-12-08,1171,1043,127,0
2021-12-09,557,207,34,0
2021-12-10,942,806,109,0
2021-12-11,1287,1115,101,0
2021-12-12,267,523,5,0
2021-12-13,1867,1109,149,0
2021-12-14,2481,1916,190,0
2021-12-15,2590,1585,209,0
2021-12-16,1444,1130,132,0
2021-12-17,1196,1064,159,0
2021-12-18,1477,818,94,0
2021-12-19,312,323,5,0
2021-12-20,898,1024,134,0
2021-12-21,881,902,282,0
2021-12-22,802,716,303,0
2021-12-23,292,519,182,0
2021-12-24,5,5,3,0
2021-12-25,0,2,0,0
2021-12-26,25,47,30,0
2021-12-27,383,614,153,0
2021-12-28,309,534,146,0
2021-12-29,410,536,152,0
2021-12-30,505,728,335,0
2021-12-31,5,24,1,0
2022-01-01,10,1,0,0
2022-01-02,39,10,2,0
2022-01-03,280,362,70,0
2022-01-04,378,774,313,0
2022-01-05,915,1274,593,0
2022-01-06,768,1169,469,0
2022-01-07,390,805,322,0
2022-01-08,123,358,160,0
2022-01-09,28,90,57,0
2022-01-10,251,549,301,0
2022-01-11,267,603,327,0
2022-01-12,725,923,371,0
2022-01-13,536,313,296,0
2022-01-14,284,403,319,0
2022-01-15,271,344,198,0
2022-01-16,90,104,106,0
2022-01-17,542,719,587,0
2022-01-18,229,475,512,0
2022-01-19,188,396,343,0
2022-01-20,136,293,292,0
2022-01-21,105,235,264,0
2022-01-22,120,247,169,0
2022-01-23,23,62,27,0
2022-01-24,169,346,306,0
2022-01-25,159,277,342,0
2022-01-26,292,537,467,0
2022-01-27,356,883,620,0
2022-01-28,123,259,257,0
2022-01-29,198,362,510,0
2022-01-30,21,2,27,0
2022-01-31,694,397,421,0
2022-02-01,187,146,189,0
2022-02-02,655,804,566,0
2022-02-03,626,639,545,0
2022-02-04,721,286,367,0
2022-02-05,968,304,361,0
2022-02-06,270,130,141,0
2022-02-07,590,377,499,0
2022-02-08,674,290,591,0
2022-02-09,518,283,428,0
2022-02-10,403,226,337,0
2022-02-11,649,330,442,0
2022-02-12,423,289,368,0
2022-02-13,127,86,73,0
2022-02-14,323,229,245,0
2022-02-15,292,177,219,0
2022-02-16,368,286,308,0
2022-02-17,362,263,297,0
2022-02-18,634,417,449,0
2022-02-19,331,165,256,0
2022-02-20,125,84,173,0
2022-02-21,389,343,374,0
2022-02-22,400,297,348,0
2022-02-23,393,440,431,0
2022-02-24,108,181,120,0
2022-02-25,335,349,277,0
2022-02-26,428,458,456,0
2022-02-27,119,50,40,0
2022-02-28,381,374,277,0
2022-03-01,140,189,163,0
